bcr_patient_barcode;dataset;GATA3;PTEN;XBP1;ESR1;MUC1;FN1;GAPDH
BRCA88;BRCA;-43955;0.829928571428571;-1,34417E+14;-10925;0.867375;0.040125;-0.28475
BRCA89;BRCA;-0.75225;1,91636E+14;-0.0705;0.352416666666667;-0.045625;-2536625;-18955
BRCA90;BRCA;22625;1,06643E+14;316225;2,84233E+14;3558;-0.00641666666666663;0.326833333333333
BRCA91;BRCA;331925;-0.102714285714286;3,65492E+14;5,61367E+14;14875;-2,52308E+14;-0.977
BRCA92;BRCA;0.788125;-0.261;3,21067E+14;4,57983E+14;0.04375;-0.3805;-1,20508E+14
BRCA93;BRCA;16045;0.8395;184875;309075;227425;1,44708E+14;-1,01583E+14
BRCA94;BRCA;0.8905;-0.0378571428571429;324275;3,48508E+14;2792375;-22895;-0.647333333333333
BRCA95;BRCA;1100625;0.528642857142857;1,28033E+14;4,43058E+14;2146375;1,87271E+14;-0.312583333333333
BRCA96;BRCA;2375375;1,04186E+14;2,51858E+14;5,27392E+14;3032125;-0.636125;-1,90258E+14
BRCA97;BRCA;2674125;0.000214285714285699;2,71383E+14;433925;-1047;-0.021625;-11385
BRCA98;BRCA;3715125;0.648857142857143;0.89925;4947;198875;-0.199083333333333;-0.97975
BRCA99;BRCA;2975125;0.515428571428571;1,28967E+14;525875;22535;-0.716333333333333;-1,55667E+14
BRCA100;BRCA;144025;0.7295;2,89392E+14;44275;2715125;-1,39083E+14;-10885
BRCA101;BRCA;1710625;0.592928571428571;2,23683E+14;1,47258E+14;310175;1,17983E+14;-0.842833333333333
BRCA102;BRCA;162275;0.667214285714286;1,95958E+14;1,89567E+14;2668125;1,18846E+14;-0.934
BRCA103;BRCA;259625;0.441357142857143;292725;5,36833E+14;-234575;-0.286708333333333;-1,23083E+14
BRCA104;BRCA;2115375;0.887357142857143;200975;3,03133E+14;0.72675;0.505041666666667;-0.541166666666667
BRCA105;BRCA;-439275;-0.176642857142857;-1,12167E+14;-3456;-189825;-0.261833333333333;-0.12325
